"Dia-Mes","Temperatura media","Fecha Momento minima","Temperatura minima","Fecha Momento maxima","Temperatura maxima"
"21-Jun","12","21-06-2013","3.2","21-06-2015","23.5"
"22-Jun","11.4","22-06-2008","2.8","22-06-2019","22.5"
"23-Jun","10.9","23-06-2009","1.8","23-06-2012","21.4"
"24-Jun","11","24-06-2001","3.2","24-06-1998","25"
"25-Jun","10.9","25-06-2024","3","25-06-2003","21.4"
"26-Jun","11","26-06-2019","2.8","26-06-2006","25.5"
"27-Jun","11","27-06-2021","2.2","27-06-2018","21.8"
"28-Jun","10.9","28-06-2011","4","28-06-2021","20.6"
"29-Jun","11","29-06-2015","3.2","29-06-2021","24"
"30-Jun","11.1","30-06-2002","1.1","30-06-2023","24.4"
"1-Jul","11.1","1/7/2002","0.8","1/7/2003","24.8"
"2-Jul","11.4","2/7/2011","1.8","2/7/2006","28"
"3-Jul","11.6","3/7/2002","1.8","3/7/2006","25.7"
"4-Jul","11.1","4/7/2012","2.9","4/7/2004","24"
"5-Jul","10.9","5/7/2002","4.2","5/7/2001","24.4"
"6-Jul","10.6","6/7/2024","3","6/7/2014","18.4"
"7-Jul","10.9","7/7/2010","3.8","7/7/2014","21.4"
"8-Jul","11","8/7/2007","2","8/7/2002","23.2"
"9-Jul","10.6","9/7/2007","1.1","9/7/2010","21.2"
"10-Jul","11.2","10/7/2007","2.4","10/7/1996","23.9"
"11-Jul","10.7","11/7/2000","2.6","11/7/2009","22.1"
"12-Jul","11.2","12/7/2010","3.8","12/7/2002","24.8"
"13-Jul","11.2","13-07-2010","1.9","13-07-2002","26"
"14-Jul","10.9","14-07-2010","2.8","14-07-2020","27.5"
"15-Jul","10.5","15-07-1999","2","15-07-2002","24.8"
"16-Jul","10.9","16-07-2017","2.2","16-07-2012","24.4"
"17-Jul","10.9","17-07-2017","2.1","17-07-2006","29"
"18-Jul","11.9","18-07-2018","1.2","18-07-2014","30.8"
"19-Jul","10.7","19-07-2018","0.7","19-07-2017","24.9"
"20-Jul","11.1","20-07-2011","2.2","20-07-2017","26.5"
"21-Jul","10.4","21-07-2013","1.3","21-07-2016","23.1"
"22-Jul","10.2","22-07-2013","1.5","22-07-2011","20.2"
"23-Jul","10.2","23-07-2019","1.8","23-07-2015","22.3"
"24-Jul","10.4","24-07-2005","2.6","24-07-1999","24.8"
"25-Jul","10.4","25-07-2018","1.4","25-07-2000","22.6"
"26-Jul","10.7","26-07-2006","2.8","26-07-2007","24.3"
"27-Jul","11.1","27-07-2006","3.8","27-07-1996","21.6"
"28-Jul","11.1","28-07-2024","3.5","28-07-1996","23.4"
"29-Jul","11.2","29-07-2010","3.8","29-07-2023","24.5"
"30-Jul","10.7","30-07-2006","3.6","30-07-1999","26.8"
"31-Jul","10.5","31-07-2021","1","31-07-2020","22.6"
"1-Ago","10.7","1/8/1995","2","1/8/2021","27.3"
"2-Ago","11.1","2/8/1995","2.3","2/8/2023","24.6"
"3-Ago","10.3","3/8/2007","1.8","3/8/2019","25.6"
"4-Ago","10.7","4/8/1995","2.1","4/8/2019","24.2"
"5-Ago","10.4","5/8/1995","2","5/8/2013","22.2"
"6-Ago","10.9","6/8/2010","3.2","6/8/1997","21.2"
"7-Ago","11.5","7/8/2009","2.9","7/8/1997","29.2"
"8-Ago","11.5","8/8/2019","2.9","8/8/2018","28.1"
"9-Ago","11.8","9/8/2007","0.2","9/8/1999","26.8"
"10-Ago","11.3","10/8/2007","-0.1","10/8/2002","25.4"
"11-Ago","11.4","11/8/1998","4","11/8/2005","24"
"12-Ago","11.2","12/8/2017","2.9","12/8/2002","24.4"
"13-Ago","11.7","13-08-2007","0.3","13-08-2019","30.4"
"14-Ago","11.1","14-08-2021","2.2","14-08-2013","26.2"
"15-Ago","10.9","15-08-2007","1.7","15-08-2003","25"
"16-Ago","11.2","16-08-2007","2","16-08-2014","29.8"
"17-Ago","11.3","17-08-2000","1.6","17-08-2014","32.3"
"18-Ago","11","18-08-2007","3.5","18-08-2014","23.1"
"19-Ago","11.3","19-08-2011","2.4","19-08-2006","27"
"20-Ago","11.4","20-08-2011","3.1","20-08-2001","27.4"
"21-Ago","10.7","21-08-2024","2.9","21-08-2016","26.7"
"22-Ago","10.4","22-08-2020","3.3","22-08-2019","29.7"
"23-Ago","10.6","23-08-2003","1.8","23-08-2004","25.8"
"24-Ago","11.1","24-08-2018","3.3","24-08-2024","22.3"
"25-Ago","11.8","25-08-2007","1.6","25-08-1997","28"
"26-Ago","11.7","26-08-2007","3.3","26-08-1997","27.8"
"27-Ago","11.6","27-08-2013","4","27-08-2019","27.9"
"28-Ago","12.5","28-08-2012","4.8","28-08-2013","31.8"
"29-Ago","12.1","29-08-2017","4.8","29-08-2004","28.7"
"30-Ago","11.6","30-08-2011","4.4","30-08-1995","25.2"
"31-Ago","12.1","31-08-2005","4.8","31-08-2015","26.5"
"1-Sep","12.4","1/9/2016","4.1","1/9/2015","28.7"
"2-Sep","11.5","2/9/2016","3.2","2/9/2015","28.3"
"3-Sep","11.5","3/9/2016","3.6","3/9/2018","29.2"
"4-Sep","11.3","4/9/2001","4.4","4/9/2024","21"
"5-Sep","12","5/9/2016","4.5","5/9/1996","26"
"6-Sep","11.7","6/9/2001","4.1","6/9/2016","26.3"
"7-Sep","11.7","7/9/2001","4.5","7/9/2010","26.6"
"8-Sep","11.6","8/9/2003","3.1","8/9/2013","28.6"
"9-Sep","12.1","9/9/2003","3.4","9/9/2016","27.2"
"10-Sep","11.8","10/9/2014","3.7","10/9/2018","25.9"
"11-Sep","12","11/9/2000","4.2","11/9/2011","27.9"
"12-Sep","12","12/9/2005","4.6","12/9/2011","25.9"
"13-Sep","11.8","13-09-1999","3.8","13-09-2003","25.6"
"14-Sep","12.4","14-09-2007","4.7","14-09-2024","24.5"
"15-Sep","12.9","15-09-2013","3.3","15-09-2024","26.7"
"16-Sep","12.3","16-09-2013","2.8","16-09-2017","25.5"
"17-Sep","12","17-09-2013","2.9","17-09-1997","31.9"
"18-Sep","12.1","18-09-2013","3.7","18-09-2016","27.6"
"19-Sep","12.4","19-09-2022","4.9","19-09-2010","24.2"
"20-Sep","12.6","20-09-2019","5.5","20-09-2008","25.5"
"21-Sep","12.3","21-09-2022","2.9","21-09-2018","26.8"
"22-Sep","12.6","22-09-2013","4","22-09-2020","25.3"
"23-Sep","12.9","23-09-2007","4.2","23-09-2020","26.5"
"24-Sep","13.1","24-09-2007","6","24-09-2006","31.9"
"25-Sep","12","25-09-2019","5.6","25-09-2011","24.7"
"26-Sep","12.3","26-09-1998","6","26-09-2011","29.8"
"27-Sep","12.1","27-09-1998","5.4","27-09-2021","26.3"
"28-Sep","12.6","28-09-2013","2.7","28-09-2003","26.9"
"29-Sep","12.4","29-09-2007","4","29-09-2015","24.6"
"30-Sep","11.9","30-09-2013","3.1","30-09-2004","23.6"
"1-Oct","12.3","1/10/2018","4.6","1/10/2003","22.9"
"2-Oct","12.1","2/10/2019","4.1","2/10/2011","28.2"
"3-Oct","12","3/10/2020","3.6","3/10/2024","25.6"
"4-Oct","12.5","4/10/2020","3.8","4/10/2003","23.8"
"5-Oct","13.2","5/10/2021","5.1","5/10/2003","30.1"
"6-Oct","13.2","6/10/2010","6","6/10/2019","24.7"
"7-Oct","13.1","7/10/1995","6.1","7/10/2006","27.8"
"8-Oct","13.1","8/10/2011","4.2","8/10/2019","32.3"
"9-Oct","13.4","9/10/2015","5","9/10/2019","31.1"
"10-Oct","13.1","10/10/2014","5.5","10/10/2020","23.5"
"11-Oct","12.7","11/10/2023","-3","11/10/2003","25.7"
"12-Oct","13.2","12/10/2017","5.3","12/10/2014","27.5"
"13-Oct","13","13-10-2008","6.2","13-10-2023","23.9"
"14-Oct","12.8","14-10-2006","5.4","14-10-2022","27.2"
"15-Oct","12.5","15-10-2015","4.5","15-10-2021","24.9"
"16-Oct","13.4","16-10-2023","6","16-10-2012","26.1"
"17-Oct","13.7","17-10-2015","6.8","17-10-1998","28"
"18-Oct","13.7","18-10-2007","5.2","18-10-2021","28.8"
"19-Oct","13.9","19-10-2016","5.4","19-10-2011","25.5"
"20-Oct","14.2","20-10-2002","5.8","20-10-2014","28.9"
"21-Oct","13.9","21-10-2015","6.2","21-10-2007","26.2"
"22-Oct","13.8","22-10-1995","5.8","22-10-2017","26.3"
"23-Oct","12.8","23-10-2021","5","23-10-2017","24.7"
"24-Oct","13.8","24-10-2022","5.1","24-10-2014","30.8"
"25-Oct","14.2","25-10-2017","6.6","25-10-2021","28.4"
"26-Oct","14.4","26-10-2013","5.4","26-10-2016","28.1"
"27-Oct","14.6","27-10-2020","6.5","27-10-1996","27.6"
"28-Oct","14.4","28-10-2011","5.8","28-10-2009","31.2"
"29-Oct","14.1","29-10-1997","5.2","29-10-2009","29.4"
"30-Oct","13.8","30-10-1997","6","30-10-2009","25.1"
"31-Oct","13.3","31-10-2017","5.9","31-10-2010","28.2"
"1-Nov","13.2","1/11/2016","5.6","1/11/2004","25"
"2-Nov","13.9","2/11/2023","5.9","2/11/2019","25"
"3-Nov","14.7","3/11/2014","6.4","3/11/2016","30.1"
"4-Nov","14.2","4/11/2009","6.5","4/11/2016","26.6"
"5-Nov","14.6","5/11/2009","6.1","5/11/2018","26.7"
"6-Nov","15.1","6/11/2009","5.5","6/11/2018","30.8"
"7-Nov","14.7","7/11/2009","5.7","7/11/2019","29"
"8-Nov","14.1","8/11/2010","5","8/11/2024","30.2"
"9-Nov","14.4","9/11/2015","6.3","9/11/2017","27.6"
"10-Nov","14.9","10/11/2000","7.2","10/11/2017","29.3"
"11-Nov","14.5","11/11/2021","7.9","11/11/2012","27.4"
"12-Nov","14.8","12/11/2009","7.5","12/11/2024","31.2"
"13-Nov","14.9","13-11-2007","6.3","13-11-2014","29.4"
"14-Nov","15.2","14-11-2009","6.7","14-11-2019","30.4"
"15-Nov","15.4","15-11-2007","6.3","15-11-2019","31.6"
"16-Nov","14.9","16-11-2023","5.3","16-11-2019","27.9"
"17-Nov","15","17-11-2006","7.8","17-11-2016","34.9"
"18-Nov","15.5","18-11-2006","7.4","18-11-2019","31.7"
"19-Nov","15.9","19-11-2015","7","19-11-2007","32.6"
"20-Nov","14.8","20-11-2015","7.5","20-11-2000","28.8"
"21-Nov","16.1","21-11-2014","6.1","21-11-2022","29.5"
"22-Nov","15.9","22-11-2023","8.1","22-11-2017","28.1"
"23-Nov","15.3","23-11-2010","1.6","23-11-2018","27.3"
"24-Nov","15.5","24-11-1998","7","24-11-2018","29.8"
"25-Nov","15.7","25-11-1998","7","25-11-2000","28.8"
"26-Nov","14.8","26-11-2013","6.9","26-11-2020","29.1"
"27-Nov","15.3","27-11-2007","7.3","27-11-2019","29.1"
"28-Nov","15.5","28-11-2013","7","28-11-2016","28.9"
"29-Nov","16.2","29-11-2009","7.5","29-11-2011","29.6"
"30-Nov","15.4","30-11-2013","8.3","30-11-2019","29.5"
"1-Dic","15.4","1/12/2009","6.5","1/12/2000","27.4"
"2-Dic","15.7","2/12/2010","7.2","2/12/2000","28"
"3-Dic","16","3/12/2010","7.2","3/12/2013","31.2"
"4-Dic","15.5","4/12/1998","7.2","4/12/2022","28.9"
"5-Dic","15.8","5/12/2007","7.9","5/12/2004","27.2"
